NOTICE: pid::10460 2016-10-23 14:04:08     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202648765527,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:04:35     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202675242129,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:06:05     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202765032530,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:07:06     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202826276442,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:07:22     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202842975832,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:08:13     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202893118094,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:10:34     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203034534624,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:13:56     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203236559300,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:15:00     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203300690052,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:15:35     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203335654629,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:15:45     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203345633251,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:18:51     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203531463232,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13616 2016-10-23 14:19:17     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:96:7) UI Server已经启动：http://127.0.0.1:8000
